2022-05-19 16:43:58.585  INFO [authorizationService,5e8a8019ee6980bf,46387ff447db2473] 20200 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:43:58.586  INFO [authorizationService,5e8a8019ee6980bf,46387ff447db2473] 20200 --- [http-nio-9090-exec-8] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:43:58.588  INFO [authorizationService,5e8a8019ee6980bf,46387ff447db2473] 20200 --- [http-nio-9090-exec-8] c.c.controller.AuthorizationController   : END - authorization
2022-05-19 16:44:13.138  INFO [authorizationService,dc9a45873fed7e93,5b01b40eeeb12325] 20200 --- [http-nio-9090-exec-9] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:44:13.142  INFO [authorizationService,dc9a45873fed7e93,5b01b40eeeb12325] 20200 --- [http-nio-9090-exec-9] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:44:13.146  INFO [authorizationService,dc9a45873fed7e93,5b01b40eeeb12325] 20200 --- [http-nio-9090-exec-9] c.c.controller.AuthorizationController   : STARTED - authorization
2022-05-19 16:44:13.148  INFO [authorizationService,dc9a45873fed7e93,5b01b40eeeb12325] 20200 --- [http-nio-9090-exec-9] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:44:13.150  INFO [authorizationService,dc9a45873fed7e93,5b01b40eeeb12325] 20200 --- [http-nio-9090-exec-9] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:44:13.153  INFO [authorizationService,dc9a45873fed7e93,5b01b40eeeb12325] 20200 --- [http-nio-9090-exec-9] c.c.controller.AuthorizationController   : END - authorization
2022-05-19 16:44:13.180  INFO [authorizationService,dc9a45873fed7e93,3fc1c3f66800878b] 20200 --- [http-nio-9090-exec-10] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:44:13.183  INFO [authorizationService,dc9a45873fed7e93,3fc1c3f66800878b] 20200 --- [http-nio-9090-exec-10] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:44:13.188  INFO [authorizationService,dc9a45873fed7e93,3fc1c3f66800878b] 20200 --- [http-nio-9090-exec-10] c.c.controller.AuthorizationController   : STARTED - authorization
2022-05-19 16:44:13.190  INFO [authorizationService,dc9a45873fed7e93,3fc1c3f66800878b] 20200 --- [http-nio-9090-exec-10] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:44:13.191  INFO [authorizationService,dc9a45873fed7e93,3fc1c3f66800878b] 20200 --- [http-nio-9090-exec-10] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:44:13.194  INFO [authorizationService,dc9a45873fed7e93,3fc1c3f66800878b] 20200 --- [http-nio-9090-exec-10] c.c.controller.AuthorizationController   : END - authorization
2022-05-19 16:44:48.536  INFO [authorizationService,68eb0299432ae6a3,c752a59b3f887dea] 20200 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-19 16:44:48.539  INFO [authorizationService,68eb0299432ae6a3,c752a59b3f887dea] 20200 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-19 16:44:48.543  INFO [authorizationService,68eb0299432ae6a3,c752a59b3f887dea] 20200 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : STARTED - authorization
2022-05-19 16:44:48.544  INFO [authorizationService,68eb0299432ae6a3,c752a59b3f887dea] 20200 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
